R,G,B,R,G,B
106,90,205,255,215,0
106,90,205,255,165,0
106,90,205,255,140,0
65,105,225,25,25,112
65,105,225,0,0,128
65,105,225,0,0,139
65,105,225,0,0,205
65,105,225,0,0,255
65,105,225,30,144,255
65,105,225,100,149,237
25,25,112,65,105,225
25,25,112,0,0,128
25,25,112,0,0,139
25,25,112,0,0,205
25,25,112,0,0,255
25,25,112,30,144,255
25,25,112,100,149,237
0,0,128,65,105,225
0,0,128,25,25,112
0,0,128,0,0,139
0,0,128,0,0,205
0,0,128,0,0,255
0,0,128,30,144,255
0,0,128,100,149,237
0,0,139,65,105,225
0,0,139,25,25,112
0,0,139,0,0,128
0,0,139,0,0,139
0,0,139,0,0,205
0,0,139,0,0,255
0,0,139,30,144,255
0,0,139,100,149,237
0,0,205,65,105,225
0,0,205,25,25,112
0,0,205,0,0,128
0,0,205,0,0,139
0,0,205,0,0,255
0,0,205,30,144,255
0,0,205,100,149,237
0,0,255,65,105,225
0,0,255,25,25,112
0,0,255,0,0,128
0,0,255,0,0,139
0,0,255,0,0,205
0,0,255,30,144,255
0,0,255,100,149,237
30,144,255,65,105,225
30,144,255,25,25,112
30,144,255,0,0,128
30,144,255,0,0,139
30,144,255,0,0,205
30,144,255,0,0,255
30,144,255,100,149,237
100,149,237,65,105,225
100,149,237,25,25,112
100,149,237,0,0,128
100,149,237,0,0,139
100,149,237,0,0,205
100,149,237,0,0,255
100,149,237,30,144,255
0,0,0,205,133,63
0,0,0,184,134,11
0,0,0,160,82,45
0,0,0,139,69,19
0,0,0,128,0,0
0,0,0,128,0,0
105,105,105,205,133,63
105,105,105,184,134,11
105,105,105,160,82,45
105,105,105,139,69,19
105,105,105,128,0,0
105,105,105,128,0,0
60,179,113,169,169,169
60,179,113,105,105,105
60,179,113,192,192,192
102,205,170,169,169,169
102,205,170,105,105,105
102,205,170,192,192,192
0,100,0,169,169,169
0,100,0,105,105,105
0,100,0,192,192,192
0,128,0,169,169,169
0,128,0,105,105,105
0,128,0,192,192,192
154,205,50,169,169,169
154,205,50,105,105,105
154,205,50,192,192,192
85,107,47,169,169,169
85,107,47,105,105,105
85,107,47,192,192,192
107,142,35,169,169,169
107,142,35,105,105,105
107,142,35,192,192,192
128,128,0,169,169,169
128,128,0,105,105,105
128,128,0,192,192,192
